arm,dev,cut_var,beam_state,group,cut_low,cut_high
sbs,unser,runEvent,off,1,0,120
sbs,unser,runEvent,on,1,165,210
sbs,unser,runEvent,off,1,222,258
sbs,unser,runEvent,on,1,269,296
sbs,unser,runEvent,off,1,328,361
sbs,unser,runEvent,on,1,395,415
sbs,unser,runEvent,off,3,427,449
sbs,unser,runEvent,on,3,497,522
sbs,unser,runEvent,off,3,542,577
sbs,unser,runEvent,on,3,598,632
sbs,unser,runEvent,off,3,666,684
sbs,unser,runEvent,on,3,698,745
sbs,unser,runEvent,off,5,757,801
sbs,unser,runEvent,on,5,829,874
sbs,unser,runEvent,off,5,925,936
sbs,unser,runEvent,on,5,946,981
sbs,unser,runEvent,off,5,997,1015
sbs,unser,runEvent,on,5,1050,1093
sbs,unser,runEvent,off,10,1129,1150
sbs,unser,runEvent,on,10,1191,1225
sbs,unser,runEvent,off,10,1237,1275
sbs,unser,runEvent,on,10,1295,1330
sbs,unser,runEvent,off,10,1344,1380
sbs,unser,runEvent,on,10,1392,1432
sbs,unser,runEvent,off,20,1444,1480
sbs,unser,runEvent,on,20,1515,1545
sbs,unser,runEvent,off,20,1554,1595
sbs,unser,runEvent,on,20,1627,1649
sbs,unser,runEvent,off,20,1670,1697
sbs,unser,runEvent,on,20,1715,1760
sbs,unser,runEvent,off,30,1769,1806
sbs,unser,runEvent,on,30,1845,1876
sbs,unser,runEvent,off,30,1888,1929
sbs,unser,runEvent,on,30,1938,1977
sbs,unser,runEvent,off,30,1991,2028
sbs,unser,runEvent,on,30,2044,2091
